"14908	1.9",,,,,
"15136	1.9",,,,,
"14228	1.9",,,,,
"14651	1.9",,,,,
"15190	1.9",,,,,
"15197	1.9",,,,,
"15275	1.9",,,,,
"15778	1.9",,,,,
"14555	1.9",,,,,
"13892	1.9",,,,,
"15195	1.9",,,,,
"15247	1.9",,,,,
"15440	1.9",,,,,
"15419	1.9",,,,,
"15440	1.9",,,,,
"15440	1.9",,,,,
"15440	1.9",,,,,
"15441	1.9",,,,,
"15440	9.2",,,,,
"15440	9.2",,,,,
"15440	9.2",,,,,
"15441	9.2",,,,,
"15440	9.2",,,,,
"15440	9.2",,,,,
"15440	9.2",,,,,
"15441	9.2",,,,,
"15440	9.2",,,,,
"15441	9.2",,,,,
"15440	9.2",,,,,
"15440	9.2",,,,,
"15287	9.2",,,,,
"15521	9.2",,,,,
"15463	9.2",,,,,
"15242	9.2",,,,,
"15616	9.2",,,,,
"15152	9.2",,,,,
"15111	9.2",,,,,
"15089	9.2",,,,,
"15301	9.2",,,,,
"15346	9.2",,,,,
"15199	9.2",,,,,
"15242	9.2",,,,,
"15242	9.2",,,,,
"15198	9.2",,,,,
"15330	9.2",,,,,
"15330	9.2",,,,,
"14499	9.2",,,,,
"14675	9.2",,,,,
"14651	9.2",,,,,
"14695	9.2",,,,,
"14717	9.2",,,,,
"14651	9.2",,,,,
"14657	9.2",,,,,
"15250	9.2",,,,,
"15242	9.2",,,,,
"15242	9.2",,,,,
"15242	9.2",,,,,
"15374	9.2",,,,,
"15374	9.2",,,,,
"15964	9.2",,,,,
"15480	9.2",,,,,
"15526	9.2",,,,,
"16107	9.2",,,,,
"15374	9.2",,,,,
"16951	9.2",,,,,
"15505	9.2",,,,,
"13881	9.2",,,,,
"14953	9.2",,,,,
"15090	9.2",,,,,
"14879	9.2",,,,,
"15176	9.2",,,,,
"15372	9.2",,,,,
"15680	9.2",,,,,
"16052	9.2",,,,,
"16052	9.2",,,,,
"16493	9.2",,,,,
"16494	9.2",,,,,
"16493	9.2",,,,,
"16492	6.9",,,,,
"16492	6.9",,,,,
"16492	6.9",,,,,
"16493	6.9",,,,,
"16493	6.9",,,,,
"16492	6.9",,,,,
"16489	6.9",,,,,
"16490	6.9",,,,,
"16490	6.9",,,,,
"15681	6.9",,,,,
"15650	6.9",,,,,
"15659	6.9",,,,,
"15658	6.9",,,,,
"15658	6.9",,,,,
"15658	6.9",,,,,
"15658	6.9",,,,,
"15659	6.9",,,,,
"15656	6.9",,,,,
"15657	6.9",,,,,
"15659	6.9",,,,,
"15642	6.9",,,,,
"15647	6.9",,,,,
"15637	6.9",,,,,
"15658	6.9",,,,,
"15440	6.9",,,,,
"15439	6.9",,,,,
"15055	6.9",,,,,
"15854	6.9",,,,,
"15746	6.9",,,,,
"15745	6.9",,,,,
